account,FY22,FY23,FY24,FY25,FY26,Market Cap
Revenue,"€434,714","€469,951","€530,292","€567,965","€630,301",JPY
Cost of Merchandise,"€217,893","€235,555","€265,799","€284,683","€315,928",63.53%
Operating Profit,"€92,373","€99,861","€112,683","€120,688","€133,934",GBP
net_earnings,"€70,739","€76,473","€86,292","€92,423","€102,566",INR
CurrAssets,"€95,028","€102,731","€115,921","€124,156","€137,783",66605
current_obligations,"€81,571","€88,183","€99,506",N/A,"€118,272",17.71%
inventories,"€34,667","€37,477","€42,289","€45,294","€50,265",INR
Cash & Cash Equivalents,"€21,656","€23,411",N/A,"€28,294","€31,399",
assets_total,#N/A,"€292,009","€329,503",—,"€391,645",GBP
総負債,"€149,323","€161,427","€182,154","€195,095","€216,507",PwC
stockholders_equity,"€120,791","€130,582","€147,349","€157,817","€175,138",
accounts_receivable,,"€41,178","€46,465","€49,766","€55,228",EY
accounts_payable,"€17,241","€18,639","€21,032","€22,526","€24,998",USD
Borrowing Costs,"€7,285",,"€8,887","€9,518",N/A,
