Metric,Mar 2019,Jun 2019,product_line
revenue,"£25,135,778","£28,111",4189
cost_of_revenue,"£9,751","£10,905",USD
Operating Profit,"£4,991",£6,EY
Earnings,"£4,050","£4,530",EUR
Total Current Assets,"£17,722","£19,820",12.79%
current_obligations,"£10,543,402","£11,791",JPY
Inventaire,"£5,990","£6,699",62978
現金,"£5,082","£5,684",49.75%
Total Balance Sheet Assets,"£36,954","£41,328",EY
Liabilities Total,"£22,329","£24,972",Deloitte
Capitaux propres,"£14,625","£16,356",
debtors,"£6,650","£7,437",
ap,"£2,097","£2,346",
支払利息,£1,"£1,528",INR
