Line Item,FY2023,FY2024,FY2025,segment,CapEx,Region
direct_costs,"£207,076","£250,021","£283,488",EY,EY,56.69%
operating_profit,"£48,633","£58,719","£66,579",12365,85701,USD
Net Earnings,"£34,303","£41,417","£46,962",63.94%,JPY,33560
Curr Assets,"£233,759",#N/A,"£320,018",34.31%,,EUR
CL,"£101,637",,"£139,141",INR,PwC,72047
cash_on_hand,"£33,039","£39,890","£45,230",,KPMG,PwC
Assets Total,"£532,446","£642,868","£728,922",PwC,57.76%,INR
Total Liabilities ($),"£170,050","£205,315","£232,799",,EY,EUR
stockholders_equity,"£362,397","£437,552","£496,123",JPY,KPMG,91902
debtors,"£105,182","£126,995","£143,994",42.92%,80.85%,34.42%
Accts Payable,"£13,879","£16,757","£19,000",EUR,70.59%,67976
Borrowing Costs,"£3,576",#N/A,"£4,896",53.45%,,PwC
